gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
3456753731																										84001692										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-13T21:33:52Z			https://www.inaturalist.org/observations/84001692					Zach Nett												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/84001692	84001692		Zach Nett									wild																								2021-06-21T15:32:58-07:00	22:32:58Z						Mon Jun 21 2021 15:32:58 GMT-0700 (PDT)																US	California				Los Padres National Forest, Santa Barbara, CA, US												34.4825666667	-119.6811666667	EPSG:4326	5																																		185084293				Zach Nett		2021-06-22T00:16:58Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3456654622																										86061121										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-13T19:23:41Z			https://www.inaturalist.org/observations/86061121					izzyfromcali												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/86061121	86061121		izzyfromcali									wild																								2021-05-31T04:49:00-07:00	11:49:00Z						2021/05/31 4:49 AM PDT																US	California				San Dimas, CA, USA												34.1083611706	-117.806725721	EPSG:4326	977																																		189127648				izzyfromcali		2021-07-07T17:31:08Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3456451080																										88952429										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-13T17:23:58Z			https://www.inaturalist.org/observations/88952429					gilbertj												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/88952429	88952429		gilbertj									wild																								2021-07-17T14:11:00-07:00	21:11:00Z						2021/07/17 2:11 PM PDT																US	California				Montaña De Oro, Montana de Oro State Park, San Luis Obispo, California, United States												35.2642777778	-120.8728527778	EPSG:4326																																			194823704				gilbertj		2021-07-28T16:17:00Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3456335049																										88498242										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-15T21:29:53Z			https://www.inaturalist.org/observations/88498242					gilbertj												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/88498242	88498242		gilbertj									wild																								2021-07-14T14:18:00-07:00	21:18:00Z						2021/07/14 2:18 PM PDT																US	California				San Luis Obispo, California, United States												35.2540166667	-120.7619861111	EPSG:4326																																			193899685				gilbertj		2021-07-25T05:10:06Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3456103356																										6694463										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-01T01:31:21Z			https://www.inaturalist.org/observations/6694463					Jeff Martinez												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/6694463	6694463		Jeff Martinez							flowering		wild																								2017-06-17T09:25:00-07:00	16:25:00Z						2017-06-17 9:25am																US	California				Los Angeles County, US-CA, US												34.1611966	-117.7188281	EPSG:4326																																			13818874				Jeff Martinez		2017-06-17T21:21:20Z			https://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=2173	76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3456044302																										14191080										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-01T01:30:05Z			https://www.inaturalist.org/observations/14191080					Vicki Salazar												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/14191080	14191080		Vicki Salazar									wild																								2018-07-01T11:00:00-07:00	18:00:00Z						2018/07/01 11:00 AM PDT																US	California				Claremont, CA, USA												34.1516428367	-117.7150801964	EPSG:4326	31																																		30790332				Vicki Salazar		2018-07-09T03:54:58Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3455715409																										103796771										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-13T16:07:04Z			https://www.inaturalist.org/observations/103796771					Kaj Hoffman												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/103796771	103796771		Kaj Hoffman									wild																								2020-05-25T18:39:00-07:00	01:39:00Z						2020/05/25 6:39 PM PDT																US	California				Santa Barbara County, CA, USA												34.4685808758	-119.6768848207	EPSG:4326	146																																		228238284				Kaj Hoffman		2021-12-28T03:00:12Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3455605971																										88501499										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-13T17:22:53Z			https://www.inaturalist.org/observations/88501499					gilbertj												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/88501499	88501499		gilbertj									wild																								2021-07-14T15:21:00-07:00	22:21:00Z						2021/07/14 3:21 PM PDT																US	California				San Luis Obispo, California, United States												35.2659166667	-120.732475	EPSG:4326																																			193907174				gilbertj		2021-07-25T06:05:32Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3455401757																										84657451										http://creativecommons.org/licenses/by-nc/4.0/			2022-01-13T21:20:52Z			https://www.inaturalist.org/observations/84657451					gilbertj												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/84657451	84657451		gilbertj									wild																								2021-06-12T14:13:00-07:00	21:13:00Z						2021/06/12 2:13 PM PDT																US	California				San Luis Obispo, California, United States												35.0874833333	-120.4561527778	EPSG:4326																																			186375171				gilbertj		2021-06-27T05:25:16Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
3455367806																										39685715										http://creativecommons.org/publicdomain/zero/1.0/			2021-12-26T07:04:40Z			https://www.inaturalist.org/observations/39685715					Dan Horowitz												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39685715	39685715		Dan Horowitz									wild																								2019-06-17T12:23:52-07:00	19:23:52Z						2019-06-17 12:23:52 PM PDT																US	California				Tujunga, CA 91042, USA												34.2569584	-118.1543058	EPSG:4326																																			89641451				Dan Horowitz		2020-03-08T03:53:26Z				76369								Clarkia bottae								Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae		Clarkia							species							
