gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
3456000398																										6353165										http://creativecommons.org/licenses/by-nc/4.0/			2021-12-21T01:50:00Z			https://www.inaturalist.org/observations/6353165					Emily Aarsvold												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/6353165	6353165		Emily Aarsvold									wild																								2017-05-24T15:43:00-07:00	22:43:00Z						2017/05/24 3:43 PM PDT																US	California				Gasquet, CA 95543, USA												41.8560093652	-123.9673662186	EPSG:4326	122																																		13110957				Emily Aarsvold		2017-05-25T03:11:20Z				50987								Lasthenia californica								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae		Lasthenia							species							
3455426120																										74412285										http://creativecommons.org/licenses/by-nc/4.0/			2021-12-21T01:54:42Z			https://www.inaturalist.org/observations/74412285					wingman68												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/74412285	74412285		wingman68									wild																								2021-04-18T12:02:26-07:00	19:02:26Z						Sun Apr 18 2021 12:02:26 GMT-0700 (PDT)																US	Oregon				Denman Wildlife Refuge, White City, OR, US												42.4430623837	-122.8765978945	EPSG:4326	5																																		166407915				wingman68		2021-04-18T19:03:30Z				50987								Lasthenia californica								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae		Lasthenia							species							
3455264038																										73862670										http://creativecommons.org/licenses/by-nc/4.0/			2021-12-21T01:58:40Z			https://www.inaturalist.org/observations/73862670					wingman68												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/73862670	73862670		wingman68									wild																								2021-04-13T09:22:26-07:00	16:22:26Z						Tue Apr 13 2021 09:22:26 GMT-0700 (PDT)																US	Oregon				Denman Wildlife Refuge, White City, OR, US												42.4439767236	-122.8756943253	EPSG:4326	5																																		165287050				wingman68		2021-04-13T18:17:56Z				50987								Lasthenia californica								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae		Lasthenia							species							
3455164146																										74909529										http://creativecommons.org/licenses/by-nc/4.0/			2021-12-21T01:54:20Z			https://www.inaturalist.org/observations/74909529					Sam												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/74909529	74909529		Sam									wild																								2021-04-15T14:43:56-07:00	21:43:56Z						Thu Apr 15 2021 14:43:56 GMT-0700 (PDT)																US	Oregon				Central Point, OR, US												42.41565	-122.91012	EPSG:4326	12																																		167429038				Sam		2021-04-23T07:13:27Z				50987								Lasthenia californica								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae		Lasthenia							species							
3428401412																										C44634DF61CF42749337DF44D70CF9B8																														90	180		UCB	LY			PreservedSpecimen				C44634DF61CF42749337DF44D70CF9B8	LY0340202																	Herbier Roland Bonaparte															E401262231F848D09AE0FC8E85DD21F4																																																																																																		Lasthenia californica												Asteraceae		Lasthenia				californica					DC. ex Lindl.					
3428364281																										B089DB0906DF4B3B83A0C65659B1DC9C																														90	180		UCB	LY			PreservedSpecimen				B089DB0906DF4B3B83A0C65659B1DC9C	LY0340201																	Herbier Roland Bonaparte															35DCAFEE25BA4FBCAAFFE9D932C5118B																																																																																																		Lasthenia californica												Asteraceae		Lasthenia				californica					DC. ex Lindl.					
3428358862																										ADC0A1958F4549A9BA98BF7406546DE6																														90	180		UCB	LY			PreservedSpecimen				ADC0A1958F4549A9BA98BF7406546DE6	LY0340175																	Herbier Roland Bonaparte															843BCB0A0D34405EA803F42EDC54D86F																																																																																																		Baeria chrysostoma												Asteraceae		Baeria				chrysostoma					Fisch. & C.A.Mey.					
3428113514																										083140F55BFA4CFC9120D8CA530B9C80																														90	180		UCB	LY			PreservedSpecimen				083140F55BFA4CFC9120D8CA530B9C80	LY0340176																	Herbier Roland Bonaparte															F8F47B79FE0A48F1A10F7E88E8D63FE4																																																																																																		Baeria chrysostoma												Asteraceae		Baeria				chrysostoma					Fisch. & C.A.Mey.					
3428105687																										0297A145FD5841C8864ECBA8ACB8B9AA																														90	180		UCB	LY			PreservedSpecimen				0297A145FD5841C8864ECBA8ACB8B9AA	LY0340178																	Herbier Roland Bonaparte															802A15641A654CBC861F585D7A0EF11A																																																																																																		Baeria chrysostoma												Asteraceae		Baeria				chrysostoma					Fisch. & C.A.Mey.					
3427783657																										377DC5C7516E41278DBF40811EB3BB1E																														90	180		UCB	LY			PreservedSpecimen				377DC5C7516E41278DBF40811EB3BB1E	LY0340177																	Herbier Roland Bonaparte															2EC8B89B9CD547909E7C0F56F33F146E																																																																																																		Baeria chrysostoma												Asteraceae		Baeria				chrysostoma					Fisch. & C.A.Mey.					
