,ClimateDivision,Year,MeanAvgTemperature,AvgMonthlyPrecipitation
0,1,2000,54.86,3.01
1,1,2001,55.01,3.21
2,1,2002,54.72,3.33
3,1,2003,55.15,3.38
4,1,2004,55.75,2.95
5,1,2005,55.03,3.79
6,1,2006,54.54,3.51
7,1,2007,54.5,2.13
8,1,2008,54.4,2.22
9,1,2009,54.42,2.15
10,1,2010,53.89,3.83
11,1,2011,53.47,2.53
12,1,2012,54.32,3.61
13,1,2013,54.58,1.06
14,1,2014,57.06,2.9
15,1,2015,56.99,1.95
16,1,2016,55.53,3.46
17,1,2017,55.53,3.26
18,1,2018,55.43,2.18
19,1,2019,54.85,3.18
20,1,2020,56.43,1.3
21,2,2000,54.93,3.16
22,2,2001,55.95,2.99
23,2,2002,55.41,2.84
24,2,2003,55.81,2.98
25,2,2004,55.69,2.78
26,2,2005,55.22,3.62
27,2,2006,54.79,3.11
28,2,2007,55.54,1.8
29,2,2008,54.95,2.04
30,2,2009,55.19,2.49
31,2,2010,53.94,3.76
32,2,2011,53.58,2.67
33,2,2012,55.5,3.45
34,2,2013,55.62,0.94
35,2,2014,57.67,2.98
36,2,2015,57.63,1.79
37,2,2016,56.14,3.82
38,2,2017,56.25,4.32
39,2,2018,55.89,2.53
40,2,2019,55.5,4.05
41,2,2020,57.21,1.53
42,3,2000,42.8,2.57
43,3,2001,43.47,2.44
44,3,2002,43.14,2.34
45,3,2003,43.67,2.46
46,3,2004,42.86,2.34
47,3,2005,43.03,3.75
48,3,2006,42.87,2.88
49,3,2007,43.58,1.76
50,3,2008,42.7,2.48
51,3,2009,43.22,2.54
52,3,2010,41.88,3.92
53,3,2011,41.95,2.55
54,3,2012,44.52,3.0
55,3,2013,43.81,1.02
56,3,2014,45.76,2.34
57,3,2015,45.36,2.36
58,3,2016,44.54,3.32
59,3,2017,44.16,5.03
60,3,2018,44.22,2.56
61,3,2019,42.17,3.7
62,3,2020,45.03,1.63
63,4,2000,58.16,2.06
64,4,2001,58.14,2.2
65,4,2002,57.78,1.66
66,4,2003,58.35,1.57
67,4,2004,58.55,1.8
68,4,2005,58.25,2.31
69,4,2006,57.5,1.98
70,4,2007,57.55,0.99
71,4,2008,57.94,1.4
72,4,2009,58.03,1.57
73,4,2010,57.45,2.38
74,4,2011,57.21,1.63
75,4,2012,58.25,1.98
76,4,2013,58.7,0.39
77,4,2014,60.94,1.8
78,4,2015,60.45,0.92
79,4,2016,59.55,2.05
80,4,2017,59.49,2.43
81,4,2018,59.04,1.56
82,4,2019,58.81,2.5
83,4,2020,60.02,0.84
84,5,2000,59.51,1.86
85,5,2001,60.27,1.78
86,5,2002,59.94,1.29
87,5,2003,60.11,1.42
88,5,2004,60.19,1.38
89,5,2005,59.45,2.05
90,5,2006,59.2,1.77
91,5,2007,59.18,0.88
92,5,2008,59.64,1.2
93,5,2009,59.6,1.27
94,5,2010,58.67,2.09
95,5,2011,57.92,1.39
96,5,2012,59.95,1.38
97,5,2013,60.23,0.45
98,5,2014,62.0,1.2
99,5,2015,61.15,1.07
100,5,2016,61.19,1.68
101,5,2017,60.95,2.19
102,5,2018,61.11,1.38
103,5,2019,59.97,2.13
104,5,2020,61.55,1.0
105,6,2000,62.5,1.02
106,6,2001,61.3,1.27
107,6,2002,61.33,0.59
108,6,2003,62.51,1.12
109,6,2004,62.01,1.43
110,6,2005,62.21,1.78
111,6,2006,62.41,0.86
112,6,2007,62.0,0.53
113,6,2008,62.66,1.13
114,6,2009,62.23,0.74
115,6,2010,60.92,1.9
116,6,2011,61.1,1.02
117,6,2012,62.45,0.9
118,6,2013,62.5,0.49
119,6,2014,64.94,0.88
120,6,2015,64.41,0.71
121,6,2016,63.65,1.1
122,6,2017,63.59,1.31
123,6,2018,63.6,0.89
124,6,2019,61.53,2.01
125,6,2020,63.36,0.97
126,7,2000,65.6,0.43
127,7,2001,65.03,0.64
128,7,2002,65.81,0.3
129,7,2003,66.13,0.62
130,7,2004,65.68,0.81
131,7,2005,65.42,0.97
132,7,2006,65.94,0.4
133,7,2007,66.4,0.28
134,7,2008,66.45,0.57
135,7,2009,65.29,0.32
136,7,2010,64.99,1.01
137,7,2011,65.76,0.42
138,7,2012,68.78,0.37
139,7,2013,68.18,0.3
140,7,2014,69.29,0.33
141,7,2015,68.26,0.4
142,7,2016,67.85,0.48
143,7,2017,69.43,0.53
144,7,2018,68.47,0.45
145,7,2019,64.9,0.84
146,7,2020,68.18,0.38
