Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 66.4, 0.18
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 64.6, 2.47
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 2.89
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 62.8, 2.09
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 51.2, 4.61
RAMONA FIRE DEPT, San Diego, CA06, -116.908, 33.011, 1470, 60.1, 2.55
SAN PASQUAL ANIMAL PK, San Diego, CA06, -116.997, 33.096, 420, 62.3, 1.18
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 61.9, 0.88
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 51.0, 3.02
VISTA, San Diego, CA06, -117.232, 33.235, 430, 63.2, 1.93
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 59.8, 1.17
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.00
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 66.3, 0.24
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 50.9, 5.08
TEMECULA, Riverside, CA06, -117.151, 33.497, 1020, 61.5, 0.94
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 66.0, 0.00
ANZA, Riverside, CA06, -116.674, 33.556, 3915, M, 2.30
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, 61.6, 1.54
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 64.8, 0.03
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 64.0, 0.22
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 56.7, 0.46
MERCED, Merced, CA05, -120.516, 37.289, 154, 54.2, 1.87
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 62.7, 1.33
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 63.4, 0.32
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 62.2, 0.56
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 63.1, 0.29
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 57.5, 2.94
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 58.8, 3.21
BRAWLEY 2 SW, Imperial, CA07, -115.558, 32.954, -100, 64.4, 0.17
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 39.4, 1.74
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 55.3, 2.22
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 63.1, 0.57
