Monthly Data for January 2008 for California

Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
SAN GABRIEL DAM FC425B-E, Los Angeles, CA06, -117.861, 34.205, 1481, M, 15.54
MT WILSON CBS, Los Angeles, CA06, -118.071, 34.231, 5710, 42.3, 15.34
LA CRESCENTA FC251 C, Los Angeles, CA06, -118.238, 34.222, 1545, M, 13.60
VAN NUYS AP, Los Angeles, CA06, -118.491, 34.212, 785, 52.6, 7.90
CAMARILLO AP, Ventura, CA06, -119.088, 34.211, 71, 53.9, 2.52
OXNARD VENTURA COUNTY AP, Ventura, CA06, -119.204, 34.200, 39, 53.3, 2.07
PARKER RESRVOIR, San Bernardino, CA07, -114.171, 34.290, 738, 50.9, 1.51
TWENTYNINE PALMS MC, San Bernardino, CA07, -116.147, 34.294, 2003, 47.0, 0.63
BIG BEAR LAKE, San Bernardino, CA06, -116.917, 34.243, 6753, 30.9, 12.70
LAKE ARROWHEAD, San Bernardino, CA07, -117.188, 34.247, 5205, 33.1, 28.44
CHATSWORTH FC 24 F, Los Angeles, CA06, -118.600, 34.250, 950, M, 14.98
VENTURA, Ventura, CA06, -119.292, 34.283, 105, M, 9.64
CRYSTAL LAKE FC238C, Los Angeles, CA06, -117.842, 34.318, 5345, M, 14.05
BIG TUJUNGA DAM FC46, Los Angeles, CA06, -118.188, 34.295, 2326, M, 16.84
PACOIMA DAM FC33A-E, Los Angeles, CA06, -118.400, 34.329, 1550, M, 9.05
SANTA PAULA, Ventura, CA06, -119.133, 34.312, 237, 51.8, 4.82
PIRU 2 ESE, Ventura, CA06, -118.757, 34.406, 712, M, 10.86
SANTA BARBARA MUNI AP, Santa Barbara, CA06, -119.842, 34.424, 8, 50.3, 10.44
JUNCAL DAM, Santa Barbara, CA06, -119.507, 34.491, 2260, M, 17.99
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 45.6, 0.77
MERCED, Merced, CA05, -120.516, 37.289, 154, 45.9, 4.45
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 53.9, 3.88
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 54.4, 3.34
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 54.0, 2.78
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 57.5, 3.74
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 48.4, 7.83
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 50.6, 7.69
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 26.8, 1.80
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 54.7, 0.58
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 38.6, 7.89
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 38.5, 14.32
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 44.7, 8.16
DEATH VALLEY NATIONAL PARK, Inyo, CA07, -116.867, 36.463, -194, 53.4, 0.38
FAIRMONT, Los Angeles, CA07, -118.430, 34.705, 3060, 41.9, 13.29
FORT BRAGG 5 N, Mendocino, CA01, -123.756, 39.510, 123, 44.4, 7.74
HANFORD 1 S, Kings, CA05, -119.637, 36.316, 237, 44.2, 2.18
HAPPY CAMP RANGER STATION, Siskiyou, CA01, -123.375, 41.796, 1142, 33.9, 8.57
HEALDSBURG, Sonoma, CA01, -122.866, 38.629, 177, 46.4, 17.04
INDIO FIRE STATION, Riverside, CA07, -116.215, 33.709, -21, 56.2, 2.20
LEMON COVE, Tulare, CA05, -119.026, 36.382, 513, 47.0, 2.86
LIVERMORE, Alameda, CA04, -121.751, 37.682, 529, 46.5, 4.79
LODI, San Joaquin, CA05, -121.288, 38.106, 40, 46.1, 3.28
MERCED MUNICIPAL AP, Merced, CA05, -120.518, 37.286, 152, 45.0, 3.92
NAPA STATE HOSPITAL, Napa, CA01, -122.265, 38.278, 35, 47.2, 10.06
OJAI, Ventura, CA06, -119.227, 34.448, 745, 48.8, 9.11
ORLAND, Glenn, CA02, -122.200, 39.746, 254, 44.5, 8.90
ORLEANS, Humboldt, CA01, -123.532, 41.309, 403, 39.3, 14.55
PASADENA, Los Angeles, CA06, -118.145, 34.148, 864, 54.4, 13.79
PASO ROBLES, San Luis Obispo, CA04, -120.685, 35.628, 730, 45.5, 8.44
PETALUMA AIRPORT, Sonoma, CA01, -122.608, 38.258, 20, 45.7, 9.68
QUINCY, Plumas, CA02, -120.947, 39.937, 3420, 31.4, 10.19
REDLANDS, San Bernardino, CA06, -117.195, 34.037, 1410, 51.1, 3.37
SANTA BARBARA, Santa Barbara, CA06, -119.684, 34.417, 16, 53.5, 11.20
SANTA CRUZ, Santa Cruz, CA04, -122.000, 36.988, 70, 48.1, 12.16
SANTA ROSA, Sonoma, CA01, -122.713, 38.456, 166, 46.4, 11.21
TAHOE CITY, Placer, CA03, -120.143, 39.168, 6230, 27.0, 7.58
UKIAH, Mendocino, CA01, -123.210, 39.147, 636, 43.5, 15.25
VACAVILLE, Solano, CA02, -121.961, 38.396, 110, 45.8, 10.56
WASCO, Kern, CA05, -119.352, 35.589, 291, 46.4, 1.30
WILLOWS 6 W, Glenn, CA02, -122.305, 39.523, 234, 45.8, 9.61
YOSEMITE PARK HEADQUARTERS, Mariposa, CA05, -119.590, 37.750, 4018, 34.5, 1.89
YREKA, Siskiyou, CA01, -122.641, 41.703, 2709, 30.8, 4.61
BLYTHE, Riverside, CA07, -114.597, 33.613, 268, 51.8, 0.78
EUREKA WFO WOODLEY ISLAND, Humboldt, CA01, -124.160, 40.810, 20, 44.9, 9.70
INDEPENDENCE, Inyo, CA07, -118.204, 36.798, 3950, 38.9, 3.65
SAN LUIS OBISPO POLY, San Luis Obispo, CA04, -120.662, 35.306, 308, 51.1, 0.74
BURNEY, Shasta, CA02, -121.655, 40.880, 3198, 30.2, 5.90
IMPERIAL BEACH REAM FIELD NAS, San Diego, CA06, -117.117, 32.568, 24, 52.8, 0.56
CAMPO, San Diego, CA06, -116.470, 32.626, 2630, 46.3, 7.29
CALEXICO 2 NE, Imperial, CA07, -115.464, 32.688, 12, M, 0.58
EL CENTRO 2 SSW, Imperial, CA07, -115.562, 32.767, -30, 54.5, 0.85
IMPERIAL COUNTY AP, Imperial, CA07, -115.577, 32.835, -55, 53.3, 0.54
EL CENTRO NAF, Imperial, CA07, -115.664, 32.832, -46, 53.8, 0.49
ALPINE, San Diego, CA06, -116.777, 32.836, 1695, 49.8, 0.68
BRADLEY TELEMETERING, Monterey, CA04, -120.868, 35.930, 443, M, 4.16
SHOSHONE, Inyo, CA07, -116.271, 35.972, 1546, 48.5, 0.72
PORTERVILLE MUNICIPAL AIRPORT, Tulare, CA05, -119.062, 36.029, 442, 47.6, 1.49
KETTLEMAN CITY, Kings, CA05, -119.960, 36.007, 240, 46.5, 2.60
HAIWEE, Inyo, CA07, -117.953, 36.139, 3825, 41.5, 4.14
CORCORAN IRRIGATION DIST., Kings, CA05, -119.582, 36.098, 200, 47.3, 1.78
COALINGA, Fresno, CA05, -120.361, 36.136, 670, 47.7, 4.70
PRIEST VALLEY, Monterey, CA04, -120.695, 36.188, 2300, 42.9, 10.83
KING CITY, Monterey, CA04, -121.138, 36.207, 320, 48.8, 6.34
LINDSAY, Tulare, CA05, -119.054, 36.203, 435, 46.7, 3.07
ARROYO SECO RIVER, Monterey, CA04, -121.481, 36.238, 805, M, 9.71
BIG SUR STATION, Monterey, CA04, -121.780, 36.247, 200, 48.2, 6.17
VISALIA, Tulare, CA05, -119.300, 36.328, 303, 47.2, 2.27
FIVE POINTS 5 SSW, Fresno, CA05, -120.156, 36.364, 285, 47.0, 3.88
SAN CLEMENTE DAM, Monterey, CA04, -121.709, 36.438, 600, M, 12.56
ASH MOUNTAIN, Tulare, CA05, -118.825, 36.491, 1708, 45.3, 6.57
