ame, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 58.9, 0.46
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 51.8, 2.41
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 4.71
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 54.0, 4.31
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 43.1, 6.21
SAN PASQUAL ANIMAL PK, San Diego, CA06, -116.997, 33.096, 420, 55.8, 4.77
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 55.5, 2.73
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 43.5, 8.28
VISTA, San Diego, CA06, -117.232, 33.235, 430, 55.1, 2.89
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 54.0, 1.98
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.59
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 57.6, 1.44
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 40.8, 7.12
TEMECULA, Riverside, CA06, -117.151, 33.497, 1020, 51.7, 4.38
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 58.8, 0.16
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, 54.2, 3.18
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 58.0, 0.43
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 56.7, 0.49
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 50.3, 0.73
MERCED, Merced, CA05, -120.516, 37.289, 154, 50.6, 2.20
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 57.0, 5.40
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 57.9, 2.63
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 54.8, 3.55
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 60.9, 2.86
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 52.1, 6.40
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 53.9, 4.63
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 35.0, 0.90
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 49.7, 3.94
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 57.0, 2.48
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 43.4, 7.83
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 41.3, 5.38
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 49.7, 6.23
DEATH VALLEY NATIONAL PARK, Inyo, CA07, -116.867, 36.463, -194, 57.4, 1.36
FAIRMONT, Los Angeles, CA07, -118.430, 34.705, 3060, 44.4, 6.46
FORT BRAGG 5 N, Mendocino, CA01, -123.756, 39.510, 123, 50.0, 4.86
HANFORD 1 S, Kings, CA05, -119.637, 36.316, 237, 50.3, 1.86
HAPPY CAMP RANGER STATION, Siskiyou, CA01, -123.375, 41.796, 1142, 41.8, 1.84
HEALDSBURG, Sonoma, CA01, -122.866, 38.629, 177, 49.6, 12.14
INDIO FIRE STATION, Riverside, CA07, -116.215, 33.709, -21, 62.7, 0.00
LEMON COVE, Tulare, CA05, -119.026, 36.382, 513, 51.4, 2.39
LIVERMORE, Alameda, CA04, -121.751, 37.682, 529, 50.4, 3.31
LODI, San Joaquin, CA05, -121.288, 38.106, 40, 51.3, 2.96
MERCED MUNICIPAL AP, Merced, CA05, -120.518, 37.286, 152, 49.8, 2.17
NAPA STATE HOSPITAL, Napa, CA01, -122.265, 38.278, 35, 50.7, 9.20
OJAI, Ventura, CA06, -119.227, 34.448, 745, 50.1, 4.97
ORLAND, Glenn, CA02, -122.200, 39.746, 254, 49.7, 9.13
ORLEANS, Humboldt, CA01, -123.532, 41.309, 403, 44.3, 6.22
PASADENA, Los Angeles, CA06, -118.145, 34.148, 864, 57.5, 6.91
PASO ROBLES, San Luis Obispo, CA04, -120.685, 35.628, 730, 49.2, 3.89
PETALUMA AIRPORT, Sonoma, CA01, -122.608, 38.258, 20, 49.4, 7.71
QUINCY, Plumas, CA02, -120.947, 39.937, 3420, 38.2, 10.50
REDLANDS, San Bernardino, CA06, -117.195, 34.037, 1410, 52.9, 2.91
SANTA BARBARA, Santa Barbara, CA06, -119.684, 34.417, 16, 56.0, 4.74
SANTA CRUZ, Santa Cruz, CA04, -122.000, 36.988, 70, 51.8, 10.30
SANTA ROSA, Sonoma, CA01, -122.713, 38.456, 166, 51.2, 8.76
TAHOE CITY, Placer, CA03, -120.143, 39.168, 6230, 29.2, 4.39
UKIAH, Mendocino, CA01, -123.210, 39.147, 636, 47.3, 9.76
VACAVILLE, Solano, CA02, -121.961, 38.396, 110, 50.6, 8.21
WASCO, Kern, CA05, -119.352, 35.589, 291, 53.5, 0.46
WEAVERVILLE, Trinity, CA01, -122.940, 40.737, 2058, 41.8, 5.73
WILLOWS 6 W, Glenn, CA02, -122.305, 39.523, 234, 49.8, 5.33
YOSEMITE PARK HEADQUARTERS, Mariposa, CA05, -119.590, 37.750, 4018, 38.8, 3.00
YREKA, Siskiyou, CA01, -122.641, 41.703, 2709, 38.6, 1.81
BERKELEY, Alameda, CA04, -122.260, 37.874, 310, 52.3, 9.90
BLYTHE, Riverside, CA07, -114.597, 33.613, 268, 57.4, 0.44
EUREKA WFO WOODLEY ISLAND, Humboldt, CA01, -124.160, 40.810, 20, 48.2, 6.20
INDEPENDENCE, Inyo, CA07, -118.204, 36.798, 3950, 42.8, 0.83
SAN LUIS OBISPO POLY, San Luis Obispo, CA04, -120.662, 35.306, 308, 51.8, 5.86
BURNEY, Shasta, CA02, -121.655, 40.880, 3198, 36.8, 5.55
IMPERIAL BEACH REAM FIELD NAS, San Diego, CA06, -117.117, 32.568, 24, 54.6, 2.06
CAMPO, San Diego, CA06, -116.470, 32.626, 2630, 48.1, 3.70
CALEXICO 2 NE, Imperial, CA07, -115.464, 32.688, 12, M, 0.37
EL CENTRO 2 SSW, Imperial, CA07, -115.562, 32.767, -30, 60.1, 0.38
IMPERIAL COUNTY AP, Imperial, CA07, -115.577, 32.835, -55, 58.9, 0.37
EL CENTRO NAF, Imperial, CA07, -115.664, 32.832, -46, 59.8, 0.09
ALPINE, San Diego, CA06, -116.777, 32.836, 1695, 52.4, 4.47
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 1.47
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 52.7, 3.97
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 56.7, 2.35
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 53.8, 0.73
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 38.9, 8.69
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 52.4, 3.22
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 52.9, 1.30
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 58.2, 3.27
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 56.4, 0.53
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, 59.1, 1.17
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 56.3, 4.04
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 3.65
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 56.7, 4.71
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, 51.3, 0.00
YORBA LINDA, Orange, CA06, -117.819, 33.890, 350, 58.1, 0.00
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 57.8, 3.11
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 56.2, 3.41
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, 55.8, 0.00
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 54.5, 2.92
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 53.2, 2.48
WHITTIER CITY YARD FC106C, Los Angeles, CA06, -118.022, 33.976, 446, M, 3.90
RIVERSIDE CITRUS EXP, Riverside, CA06, -117.361, 33.967, 986, 55.5, 2.91
MONTEBELLO, Los Angeles, CA06, -118.105, 34.019, 246, 58.8, 1.81
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 56.4, 2.72
SANTA MONICA MUNICIPAL AP, Los Angeles, CA06, -118.447, 34.021, 175, 56.6, 3.51
SANTA MONICA PIER, Los Angeles, CA06, -118.500, 34.008, 14, 57.6, 2.15
